"FirstName","LastName","EmailAddress","DOB","Age","Age on Event Start Date","Gender","Address1","Address2","Town","Country","PostCode","ContactNumber","BookingId","BookingDate","TicketName","BookingState","LicenceName","StartDate","EndDate","LicenseState","ClubPlusLicenceName","ClubPlusLicenceState","Mid","MemberState","PaymentId","PaymentDate","PaymentMethod","Description","GrossAmount","RefundAmount","PaymentUser","PaymentUserEmail","PaymentState","Organisation","Sub-Regions","Regions","Emergency Contact - NGB:Name of emergency contact","Emergency Contact - NGB:Relationship of emergency contact","Emergency Contact - NGB:Contact number of emergency contact","V2 Paddle Australia Event Waiver - NGB:Please select from the below:","V2 Paddle Australia Event Waiver - NGB:I agree to the above statement","V2 Paddle Australia Event Waiver - NGB:2 I agree to the above statement","Race - Club:Competitors name","Race - Club:Class"
"Amelia","Hartwell","amelia.hartwell92@example.com","14/03/1992","34","34","Female","12 Rivergum Drive",,"Parramatta","Australia","2150",414,,"27/11/2025","Race entry","Booked","Paddle Australia Junior Membership","20/10/2025","19/10/2026","Active","Junior","Active","PA1","Registered","PR1","27/11/2025","Card","Event (x1)","50.0000",,"Amelia Hartwell","amelia.hartwell92@example.com","Paid","Western Sydney Whitewater Club (CL000350)",,"New South Wales (CL000152)","Jonn Hartwell","Father ","414","I am the parent or guardian of the applicant","No","Yes","Amelia Hartwell","WK1|WC1|Kayak Cross- round robin"
"Sophie","Calder","sophie.calder77@example.com","02/11/1977","48","48","Female","45 Oceanview Crescent",,"Wollongong","Australia","2500",415,,"28/11/2025","Race entry","Booked","Paddle Australia Junior Membership","01/07/2025","30/06/2026","Active",,,"PA2","Registered","PR2","27/11/2025","Card","AdditionalFees (x2), Event (x2)","50.0000",,"Sophie Calder","sophie.calder77@example.com","Paid","Canoes Plus Racing Team (CL000221),Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Chris Calder","Father","415","I am the parent or guardian of the applicant","No","Yes","Sophie Calder","WK1|Kayak Cross- round robin"
"Ethan","Rowe","ethan.rowe46@example.com","03/04/1986","40","40","Male","78 Banksia Street",,"Newcastle","Australia","2300",416,,"28/11/2025","Race entry","Booked","Paddle Australia Junior Membership","01/07/2025","30/06/2026","Active",,,"PA3","Registered","PR3","27/11/2025","Card","AdditionalFees (x2), Event (x2)","50.0000",,"Ethan Rowe","ethan.rowe46@example.com","Paid","Canoes Plus Racing Team (CL000221),Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","James Rowe","Father","416","I am the parent or guardian of the applicant","No","Yes","Ethan Rowe","MK1|MC1|Kayak Cross- round robin"
"Oliver","Finch","oliver.finch11@example.com","27/02/2011","15","15","Male","9 Jacaranda Close",,"Penrith","Australia","2750",417,,"28/11/2025","Race entry","Booked","Paddle Australia Junior Membership","05/06/2026","04/06/2027","Active",,,"PA4","Registered","PR4","27/11/2025","Card","AdditionalFees (x2), Event (x2)","50.0000",,"Oliver Finch","oliver.finch11@example.com","Paid","Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Peter Finch","Father","417","I am the parent or guardian of the applicant","No","Yes","Oliver Finch","MK1|MC1|Kayak Cross- round robin"
"Chloe","Bennett","chloe.bennett05@example.com","19/01/2005","21","21","Female","102 Harbour Road",,"Sydney","Australia","2000",418,,"28/11/2025","Race entry","Booked","Paddle Australia Junior Membership","09/08/2025","30/06/2026","Active",,,"PA5","Registered","PR5","27/11/2025","Card","AdditionalFees (x3), Event (x3)","50.0000",,"Chloe Bennett","chloe.bennett05@example.com","Paid","Fairfield Canoe Club (CL000234),INCC Yarra Paddlers (CL000252),Melbourne Canoe Club (CL000270),Patterson Lakes Canoe Club (CL000286)",,"Victoria (CL000156)","Else Bennett","Parent","418","I am the parent or guardian of the applicant","No","Yes","Chloe Bennett","WK1|WC1"
"Zara","Whitmore","zara.whitmore29@example.com","17/06/1999","26","26","Female","33 Wattle Avenue",,"Blacktown","Australia","2148",419,,"30/11/2025","Race entry","Booked","Paddle Australia Senior Membership","30/05/2025","29/05/2026","Active",,,"PA6","Registered","PR6","30/11/2025","Card","AdditionalFees (x4), Event (x4)","50.0000",,"Zara Whitmore","zara.whitmore29@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)",Ted Whitmore,"spouse","419","I am registering myself to this event","Yes","No","Zara Whitmore","WK1|Kayak Cross- round robin"
"Lucas","Mercer","lucas.mercer22@example.com","21/08/2002","23","23","Male","56 Coral Way",,"Coffs Harbour","Australia","2450",420,,"30/11/2025","Race entry","Booked","Paddle Australia Junior Membership","19/05/2025","18/05/2026","Active",,,"PA7","Registered","PR7","30/11/2025","Card","AdditionalFees (x4), Event (x4)","50.0000",,"Lucas Mercer","lucas.mercer22@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)",Lucy Mercer,"child","420","I am the parent or guardian of the applicant","Yes","Yes","Lucas Mercer","MK1|MC1|Kayak Cross- round robin"
"Mia","Holloway","mia.holloway14@example.com","30/05/2014","11","11","Female","17 Mountain Ash Lane",,"Katoomba","Australia","2780",421,,"01/12/2025","Race entry","Booked","Paddle Australia Junior Membership","25/10/2025","24/10/2026","Active",,,"PA8","Registered","PR8","01/12/2025","Card","AdditionalFees (x1), Event (x1)","50.0000",,"Mia Holloway","mia.holloway14@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)",Penny Holloway,"son","421","I am the parent or guardian of the applicant","No","Yes","Mia Holloway","WC1|WK1|Kayak Cross- round robin"
"Jack","Thornton","jack.thornton58@example.com","05/07/1958","67","67","Male","88 Sunrise Boulevard",,"Gosford","Australia","2250",422,,"02/12/2025","Race entry","Booked","Volunteers and Officials","19/07/2025","30/06/2026","Active",,,"PA9","Registered","PR9","02/12/2025","Card","AdditionalFees (x1), Event (x1)","50.0000",,"Jack Thornton","jack.thornton58@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)",John Thornton,"Father ","422","I am the parent or guardian of the applicant","No","Yes","Jack Thornton","MK1|MC1|Kayak Cross- round robin"
"Henry","Calloway","henry.calloway37@example.com","29/09/1973","52","52","Male","21 Eucalyptus Drive",,"Dubbo","Australia","2830",423,,"02/12/2025","Race entry","Booked","Paddle Australia Junior Membership","29/10/2025","28/10/2026","Active","Junior","Active","PA10","Registered","PR10","02/12/2025","Card","Event (x1)","50.0000",,"Henry Calloway","henry.calloway37@example.com","Paid","Western Sydney Whitewater Club (CL000350)",,"New South Wales (CL000152)",Riley Calloway,"Mother ","423","I am the parent or guardian of the applicant","No","Yes","Henry Calloway","MK1"
