"FirstName","LastName","EmailAddress","DOB","Age","Age on Event Start Date","Gender","Address1","Address2","Town","Country","PostCode","ContactNumber","BookingId","BookingDate","TicketName","BookingState","LicenceName","StartDate","EndDate","LicenseState","ClubPlusLicenceName","ClubPlusLicenceState","Mid","MemberState","PaymentId","PaymentDate","PaymentMethod","Description","GrossAmount","RefundAmount","PaymentUser","PaymentUserEmail","PaymentState","Organisation","Sub-Regions","Regions","Emergency Contact - NGB:Name of emergency contact","Emergency Contact - NGB:Relationship of emergency contact","Emergency Contact - NGB:Contact number of emergency contact","V2 Paddle Australia Event Waiver - NGB:Please choose one of the option:","V2 Paddle Australia Event Waiver - NGB:I agree to the above statement","V2 Paddle Australia Event Waiver - NGB:2 I agree to the above statement","SIA - Compliance Check - National Events - NGB:I am entered in a National Level Event and I have ","2026 Canoe Slalom Nationals - NGB:Paddler's Name:","2026 Canoe Slalom Nationals - NGB:Paddler's Date of Birth:","2026 Canoe Slalom Nationals - NGB:Events entered:"
"Amelia","Hartwell","amelia.hartwell92@example.com","14/03/1992","34","34","Female","12 Rivergum Drive",,"Parramatta","Australia","2150","414","BC1","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","20/10/2025","19/10/2026","Active",,,"PA1","Registered","PR1","18/03/2026","Card","Event (x1)","85.0000",,"Amelia Hartwell","amelia.hartwell92@example.com","Paid","Western Sydney Whitewater Club (CL000350)",,"New South Wales (CL000152)","Jonn Hartwell","Father ","414","I am the parent or guardian of the applicant","No","Yes","Yes","Amelia Hartwell","14/03/1992","Women's K1|Women's C1|Women's Kayak Cross"
"Sophie","Calder","sophie.calder77@example.com","02/11/1977","48","48","Female","45 Oceanview Crescent",,"Wollongong","Australia","2500","415","BC2","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Senior Membership","20/11/2025","19/11/2026","Active",,,"PA2","Registered","PR2","18/03/2026","Card","Event (x3)","85.0000",,"Sophie Calder","sophie.calder77@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)","Chris Calder","Father","415","I am registering myself to this event","Yes","No","Yes","Sophie Calder","02/11/1977","Women's K1"
"Ethan","Rowe","ethan.rowe46@example.com","03/04/1986","40","40","Male","78 Banksia Street",,"Newcastle","Australia","2300","416","BC3","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","20/11/2025","19/11/2026","Active",,,"PA3","Registered","PR3","18/03/2026","Card","Event (x3)","85.0000",,"Ethan Rowe","ethan.rowe46@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)","James Rowe","Father","416","I am the parent or guardian of the applicant","No","Yes","Yes","Ethan Rowe","03/04/1986","Men's K1|Men's C1"
"Oliver","Finch","oliver.finch11@example.com","27/02/2011","15","15","Male","9 Jacaranda Close",,"Penrith","Australia","2750","417","BC4","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","20/11/2025","19/11/2026","Active",,,"PA4","Registered","PR4","18/03/2026","Card","Event (x3)","85.0000",,"Oliver Finch","oliver.finch11@example.com","Paid","Derwent Canoe Club (CL000229),Tasmanian Sea Canoeing Club Inc. (CL000312)",,"Tasmania (CL000154)","Peter Finch","Father","417","I am the parent or guardian of the applicant","No","Yes","Yes","Oliver Finch","27/02/2011","Men's K1|Men's C1|Men's Kayak Cross"
"Chloe","Bennett","chloe.bennett05@example.com","19/01/2005","21","21","Female","102 Harbour Road",,"Sydney","Australia","2000","418","BC5","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","09/09/2025","08/09/2026","Active",,,"PA5","Registered","PR5","18/03/2026","Card","Event (x2)","85.0000",,"Chloe Bennett","chloe.bennett05@example.com","Paid","Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Else Bennett","Parent","418","I am the parent or guardian of the applicant","No","Yes","Yes","Chloe Bennett","19/01/2005","Women's K1|Women's C1|Women's Kayak Cross"
"Zara","Whitmore","zara.whitmore29@example.com","17/06/1999","26","26","Female","33 Wattle Avenue",,"Blacktown","Australia","2148","419","BC6","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","06/02/2026","05/02/2027","Active",,,"PA6","Registered","PR6","19/03/2026","Card","Event (x1)","85.0000",,"Zara Whitmore","zara.whitmore29@example.com","Paid","Fairfield Canoe Club (CL000234),INCC Yarra Paddlers (CL000252),Melbourne Canoe Club (CL000270),Patterson Lakes Canoe Club (CL000286)",,"Victoria (CL000156)","Ted Whitmore","spouse","419","I am the parent or guardian of the applicant","No","Yes","Yes","Zara Whitmore","17/06/1999","Women's K1|Women's C1"
"Lucas","Mercer","lucas.mercer22@example.com","21/08/2002","23","23","Male","56 Coral Way",,"Coffs Harbour","Australia","2450","420","BC7","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","11/04/2026","10/04/2027","Active",,,"PA7","Registered","PR7","19/03/2026","Card","Event (x1)","85.0000",,"Lucas Mercer","lucas.mercer22@example.com","Paid","Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Lucy Mercer","child","420","I am the parent or guardian of the applicant","No","Yes","Yes","Lucas Mercer","21/08/2002","Men's K1|Men's Kayak Cross"
"Mia","Holloway","mia.holloway14@example.com","30/05/2014","11","11","Female","17 Mountain Ash Lane",,"Katoomba","Australia","2780","421","BC8","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","28/01/2026","27/01/2027","Active",,,"PA8","Registered","PR8","19/03/2026","Card","Event (x1)","85.0000",,"Mia Holloway","mia.holloway14@example.com","Paid","Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Penny Holloway","son","421","I am the parent or guardian of the applicant","No","Yes","Yes","Mia Holloway","30/05/2014","Women's K1|Women's C1|Women's Kayak Cross"
"Jack","Thornton","jack.thornton58@example.com","05/07/1958","67","67","Male","88 Sunrise Boulevard",,"Gosford","Australia","2250","422","BC9","19/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","19/05/2025","18/05/2026","Active",,,"PA9","Registered","PR9","19/03/2026","Card","Event (x1)","85.0000",,"Jack Thornton","jack.thornton58@example.com","Paid","Derwent Canoe Club (CL000229)",,"Tasmania (CL000154)","John Thornton","Father ","422","I am the parent or guardian of the applicant","No","Yes","Yes","Jack Thornton","05/07/1958","Men's K1|Men's C1|Men's Kayak Cross"
"Henry","Calloway","henry.calloway37@example.com","29/09/1973","52","52","Male","21 Eucalyptus Drive",,"Dubbo","Australia","2830","423","BC10","20/03/2026","Canoe Slalom National Championship - Aus Athlete Entry","Booked","Paddle Australia Junior Membership","20/01/2026","19/01/2027","Active",,,"PA10","Registered","PR10","20/03/2026","Card","Event (x4)","85.0000",,"Henry Calloway","henry.calloway37@example.com","Paid","Canoes Plus Racing Team (CL000221),Melbourne Canoe Club (CL000270)",,"Victoria (CL000156)","Riley Calloway","Mother ","423","I am the parent or guardian of the applicant","No","Yes","Yes","Henry Calloway","29/09/1973","Men's K1|Men's Kayak Cross"
