FirstName,LastName,DOB,Club,Class,Ranking,Bib
Mia,HOLLOWAY,30/05/2014,MCC,WCSLX,,5
Chloe,BENNETT,19/01/2005,MCC,WCSLX,,4
Amelia,HARTWELL,14/03/1992,WSWC,WCSLX,,3
Ava,SINCLAIR,08/09/1988,DCC,WCSLX,,2
Lily,CARRINGTON,12/12/1963,MCC,WCSLX,,1
Oliver,FINCH,27/02/2011,DCC,MCSLX,,4
Lucas,MERCER,21/08/2002,MCC,MCSLX,,3
Henry,CALLOWAY,29/09/1973,MCC,MCSLX,,2
Jack,THORNTON,05/07/1958,DCC,MCSLX,,1
Mia,HOLLOWAY,30/05/2014,MCC,K1W,,7
Chloe,BENNETT,19/01/2005,MCC,K1W,,6
Zara,WHITMORE,17/06/1999,MCC,K1W,,5
Amelia,HARTWELL,14/03/1992,WSWC,K1W,,4
Ava,SINCLAIR,08/09/1988,DCC,K1W,,3
Sophie,CALDER,02/11/1977,DCC,K1W,,2
Lily,CARRINGTON,12/12/1963,MCC,K1W,,1
Oliver,FINCH,27/02/2011,DCC,K1M,,7
Lucas,MERCER,21/08/2002,MCC,K1M,,6
Noah,BLACKWOOD,10/10/1990,ECC,K1M,,5
Ethan,ROWE,03/04/1986,DCC,K1M,,4
Henry,CALLOWAY,29/09/1973,MCC,K1M,,3
Ben,CALLOWAY,29/09/1973,MCC,K1M,,2
Jack,THORNTON,05/07/1958,DCC,K1M,,1
Mia,HOLLOWAY,30/05/2014,MCC,C1W,,6
Chloe,BENNETT,19/01/2005,MCC,C1W,,5
Zara,WHITMORE,17/06/1999,MCC,C1W,,4
Amelia,HARTWELL,14/03/1992,WSWC,C1W,,3
Ava,SINCLAIR,08/09/1988,DCC,C1W,,2
Lily,CARRINGTON,12/12/1963,MCC,C1W,,1
Oliver,FINCH,27/02/2011,DCC,C1M,,4
Ethan,ROWE,03/04/1986,DCC,C1M,,3
Ben,CALLOWAY,29/09/1973,MCC,C1M,,2
Jack,THORNTON,05/07/1958,DCC,C1M,,1
